Title,Platform,Release Date,Release Region,Publisher,Developer,Franchise,Genre,VR,DLC,English,Owned,Condition,Date Purchased, Purchase Price ,Format,Completed,Date Completed,Completion Time,Rating,Metacritic Rating,GameFAQs User Rating,Notes,Priority,Wishlisted,Estimated Time,Playing Status,Release Year,Weighted Score,Composite Score,My Score
Zork Zero: The Revenge of Megaboz,PC,7/14/1989,NA,Infocom,Infocom,Zork,Text Adventure,,,,0,,,,,0,,,,,68%,,2,,4.50,,1989,54%,68%,0.4
Indiana Jones and the Last Crusade: The Graphic Adventure,PC,7/1/1989,NA,Lucasfilm Games,Lucasfilm Games,Indiana Jones,Adventure,,,,1,,11/1/2022, $ -   ,Digital,0,,,,60%,77%,Twitch,4,,5.50,,1989,74%,0.683,0.8
Dynasty Wars,Arcade,7/1/1989,NA,Capcom,Capcom,Tenchi wo Kurau,Beat 'em Up,,,,0,,,,,0,,,,,61%,,3,,0.53,,1989,60%,61%,0.6
SD Gundam World: Gachapon Senshi 2 - Capsule Senki,NES,6/25/1989,JP,Bandai Shinsei,Human Entertainment,Gundam,Strategy RPG,,,2,0,,,,,0,,,,,67%,,2,,,,1989,54%,67%,0.4
LaSalle Ishii no Child's Quest,NES,6/23/1989,JP,Namco,Namco,,Turn-Based RPG,,,2,0,,,,,0,,,,,71%,,2,,,,1989,55%,71%,0.4
Teenage Mutant Ninja Turtles,NES,6/1/1989,NA,Ultra Games,Konami,Teenage Mutant Ninja Turtles,Action Platformer,,,,0,,,,,0,,,,,64%,,3,,1.00,,1989,62%,64%,0.6
Monster Party,NES,6/1/1989,NA,Bandai,Human Entertainment,,Action Platformer,,,,0,,,,,0,,,,,71%,,2,,1.50,,1989,56%,71%,0.4
Hydlide,NES,6/1/1989,NA,T&E Soft,T&E Soft,Hydlide,Action RPG,,,,0,,,,,0,,,,,42%,,2,,3.00,,1989,41%,42%,0.4
Holy Diver,NES,4/28/1989,JP,Irem,Irem,,Action Platformer,,,2,0,,,,,0,,,,,72%,,3,,4.00,,1989,66%,72%,0.6
Adventures of Lolo,NES,4/20/1989,NA,HAL America,HAL Laboratory,Eggerland,Puzzle Action,,,,0,,,,,0,,,,,74%,,2,,3.50,,1989,57%,74%,0.4
The Guardian Legend,NES,4/1/1989,NA,Brøderbund,Compile,,Scrolling Shooter,,,,0,,,,,0,,,,,83%,,3,,4.50,,1989,71%,83%,0.6
Legacy of the Wizard,NES,4/1/1989,NA,Brøderbund,Nihon Falcom,Dragon Slayer,Action RPG,,,,0,,,,,0,,,,,69%,,3,,4.50,,1989,64%,69%,0.6
Double Dragon,Atari ST,4/1/1989,NA,Virgin Games,Binary Design,Double Dragon,Beat 'em Up,,,,0,,,,,0,,,,,69%,,2,,1.00,,1989,54%,69%,0.4
Lord of the Sword,Sega Master System,4/1/1989,NA,Sega,Sega,,Metroidvania,,,,0,,,,,0,,,,,58%,,2,,5.00,,1989,49%,58%,0.4
Makai Hakkenden: Shada,TurboGrafx-16,4/1/1989,JP,Data East,Data East,,Action RPG,,,2,0,,,,,0,,,,,48%,,2,,,,1989,44%,48%,0.4
Predator,NES,4/1/1989,NA,Activision,Pack-In-Video,Predator,Action Platformer,,,,0,,,,,0,,,,,43%,,2,,0.70,,1989,42%,43%,0.4
Mystery Quest,NES,4/1/1989,NA,Taxan,Carry Lab,,Side-Scrolling Platformer,,,,0,,,,,0,,,,,54%,,2,,4.50,,1989,47%,54%,0.4
Space Quest III: The Pirates of Pestulon,PC,3/24/1989,NA,Sierra Entertainment,Sierra Entertainment,Space Quest,Adventure,,,,1,,5/5/2020, $ -   ,Digital,0,,,,80%,77%,Steam,3,,3.00,,1989,69%,0.783,0.6
Shiryō Sensen: War of the Dead,TurboGrafx-16,3/24/1989,JP,Victor Interactive,Victor Interactive,,Action RPG,,,2,0,,,,,0,,,,,70%,,2,,,,1989,55%,70%,0.4
Square's Tom Sawyer,NES,3/19/1989,JP,Squaresoft,SquareSoft,,Turn-Based RPG,,,1,0,,,,,0,,,,,76%,,3,,,,1989,68%,76%,0.6
Kaizou Chōjin Schbibinman,TurboGrafx-16,3/18/1989,JP,NCS,NCS,Kaizou Chōjin Schbibinman,Action Platformer,,,0,0,,,,,0,,,,,71%,,2,,0.50,,1989,56%,71%,0.4
Out Live,TurboGrafx-16,3/17/1989,JP,Sun Electronics,Sun Electronics,,Dungeon Crawler,,,2,0,,,,,0,,,,,74%,,2,,,,1989,57%,74%,0.4
Jesus: Kyōfu no Bio Monster,NES,3/17/1989,JP,King Records,Chunsoft,Jesus,Adventure,,,2,0,,,,,0,,,,,67%,,2,,2.00,,1989,53%,67%,0.4
Phantasy Star II,Sega Genesis,3/1/1989,NA,Sega,Sega,Phantasy Star,Turn-Based RPG,,,,0,,,,,0,,,,80%,75%,,4,,32.50,,1989,79%,0.776,0.8
Project Firestart,Commodore 64,3/1/1989,NA,Electronic Arts,Dynamix,,Survival Horror,,,,0,,,,,0,,,,,89%,,2,,,,1989,64%,89%,0.4
Ninja Gaiden,NES,3/1/1989,NA,Tecmo,Tecmo,Ninja Gaiden,Action Platformer,,,,0,,,,,0,,,,,79%,,2,,2.50,,1989,59%,79%,0.4
Famicom Jump: Eiyuu Retsuden,NES,2/15/1989,JP,Bandai,TOSE,Shounen Jump,Action RPG,,,2,0,,,,,0,,,,,72%,,2,,,,1989,56%,72%,0.4
Tecmo Bowl,NES,2/1/1989,NA,Tecmo,Tecmo,Tecmo Bowl,Sports,,,,0,,,,,0,,,,,73%,,2,,4.00,,1989,56%,73%,0.4
Ganbare Goemon 2,NES,1/4/1989,JP,Konami,Konami,Goemon,Action Adventure,,,2,0,,,,,0,,,,,79%,,3,,3.50,,1989,70%,79%,0.6
Wonder Boy III: The Dragon's Trap,Sega Master System,1/1/1989,NA,Sega,Westone,Wonder Boy,Side-Scrolling Platformer,,,,0,,,,,0,,,,,87%,,3,,5.50,,1989,73%,87%,0.6
R-Type II,Arcade,1/1/1989,NA,Capcom,Irem,R-Type,Scrolling Shooter,,,,0,,,,,0,,,,,72%,,3,,0.45,,1989,66%,72%,0.6
Psycho Fox,Sega Master System,1/1/1989,NA,Sega,Vic Tokai,,Side-Scrolling Platformer,,,,0,,,,,0,,,,,71%,,3,,2.00,,1989,66%,71%,0.6
The Legendary Axe,TurboGrafx-16,1/1/1989,NA,NEC Home Electronics,Victor Interactive,The Legendary Axe,Action Platformer,,,,0,,,,,0,,,,,71%,,3,,2.00,,1989,66%,71%,0.6
Splatterhouse,Arcade,1/1/1989,NA,Namco,Namco,Splatterhouse,Beat 'em Up,,,,0,,,,,0,,,,,66%,,3,,0.77,,1989,63%,66%,0.6
The Treasure of Uşas,MSX2,1/1/1989,EU,Konami,Konami,,Action Adventure,,,,0,,,,,0,,,,,84%,,2,,,,1989,62%,84%,0.4
Manhunter 2: San Francisco,PC,1/1/1989,NA,Sierra Entertainment,Evryware,Manhunter,Adventure,,,,0,,,,,0,,,,60%,59%,,3,,,,1989,60%,0.596,0.6
Hard 'n' Heavy,Commodore 64,1/1/1989,NA,Rainbow Arts,Rainbow Arts,Giana Sisters,Side-Scrolling Platformer,,,,0,,,,,0,,,,,79%,,2,,1.00,,1989,59%,79%,0.4
Silviana,MSX2,1/1/1989,JP,Pack-In-Video,Pack-In-Video,,Action RPG,,,2,0,,,,,0,,,,,77%,,2,,,,1989,58%,77%,0.4
MechWarrior,PC,1/1/1989,NA,Activision,Dynamix,BattleTech,Vehicular Combat,,,,0,,,,,0,,,,42%,69%,,3,,2.50,,1989,58%,0.555,0.6
It Came from the Desert,Commodore Amiga,1/1/1989,NA,Cinemaware,Cinemaware,,Action Adventure,,,,0,,,,,0,,,,,75%,,2,,2.50,,1989,58%,75%,0.4
Interphase,Commodore Amiga,1/1/1989,NA,Image Works,The Assembly Line,,Puzzle Action,,,,0,,,,,0,,,,,75%,,2,,,,1989,58%,75%,0.4
Dungeon Master: Chaos Strikes Back,Atari ST,1/1/1989,NA,FTL Games,FTL Games,Dungeon Master,Dungeon Crawler,,1,,0,,,,,0,,,,,74%,,2,,19.00,,1989,57%,74%,0.4
Shadow of the Beast,Commodore Amiga,1/1/1989,NA,Psygnosis,Reflections Interactive,Shadow of the Beast,Side-Scrolling Platformer,,,,0,,,,,0,,,,,72%,,2,,1.50,,1989,56%,72%,0.4
Omega Fighter,Arcade,1/1/1989,NA,UPL,UPL,,Scrolling Shooter,,,,0,,,,,0,,,,,69%,,2,,,,1989,54%,69%,0.4
Mechanized Attack,Arcade,1/1/1989,NA,SNK,SNK,,Rail Shooter,,,,0,,,,,0,,,,,68%,,2,,5.00,,1989,54%,68%,0.4
A.M.C.: Astro Marine Corps,ZX Spectrum,1/1/1989,EU,Dinamic Software,Creepsoft,,Run and Gun,,,,0,,,,,0,,,,,65%,,2,,0.83,,1989,53%,65%,0.4
Star Soldier,NES,1/1/1989,NA,Taxan,Hudson Soft,Star Soldier,Scrolling Shooter,,,,0,,,,,0,,,,,64%,,2,,16.00,,1989,52%,64%,0.4
Atomic Robo-Kid Special,TurboGrafx-16,1/1/1989,NA,UPL,UPL,Atomic Robo-Kid,Scrolling Shooter,,,,0,,,,,0,,,,,63%,,2,,0.93,,1989,51%,63%,0.4
Kung-Fu Heroes,NES,1/1/1989,NA,Culture Brain,Nihon Game,Super Chinese,Beat 'em Up,,,,0,,,,,0,,,,,62%,,2,,1.00,,1989,51%,62%,0.4
Xenocide,Apple II,1/1/1989,NA,Pangea Software,Pangea Software,,Scrolling Shooter,,,,0,,,,,0,,,,,60%,,2,,,,1989,50%,60%,0.4
Double Dragon II: The Revenge,PC,1/1/1989,NA,Virgin Interactive,Binary Design,Double Dragon,Beat 'em Up,,,,0,,,,,0,,,,,59%,,2,,0.83,,1989,50%,59%,0.4
Dragon Breed,Arcade,1/1/1989,NA,Irem,Irem,,Scrolling Shooter,,,,0,,,,,0,,,,,58%,,2,,,,1989,49%,58%,0.4
Alex Kidd: High-Tech World,Sega Master System,1/1/1989,NA,Sega,Sega,Alex Kidd,Side-Scrolling Platformer,,,,0,,,,,0,,,,,50%,,2,,1.50,,1989,45%,50%,0.4
Dyger,Arcade,1/1/1989,NA,Philko,Philko,,Scrolling Shooter,,,,0,,,,,0,,,,,50%,,2,,,,1989,45%,50%,0.4
Hillsfar,PC,1/1/1989,NA,Strategic Simulations,Westwood Studios,Dungeons & Dragons,Computer RPG,,,,0,,,,,0,,,,,49%,,2,,6.00,,1989,45%,49%,0.4
Raid 2020,NES,1/1/1989,NA,Color Dreams,Color Dreams,,Run and Gun,,,,0,,,,,0,,,,,34%,,2,,1.50,,1989,37%,34%,0.4
King's Knight,NES,1/1/1989,NA,Squaresoft,SquareSoft,King's Knight,Scrolling Shooter,,,,0,,,,,0,,,,,52%,,2,,1.50,,1989,46%,52%,0.4
Golden Axe,Sega Genesis,12/22/1989,NA,Sega,Sega,Golden Axe,Beat 'em Up,,,,0,,,,,1,3/21/2023,1.21,40%,69%,72%,,,,,,1989,55%,0.706,40%
Shadowgate,NES,12/1/1989,NA,Kemco,ICOM Simulations,Shadowgate,Adventure,,,,0,,,,,1,,,70%,,74%,,,1,,,1989,72%,74%,70%
Castlevania: The Adventure,Game Boy,12/1/1989,NA,Konami,Konami,Castlevania,Action Platformer,,,,0,,,,,1,,,70%,55%,54%,,,,,,1989,62%,0.545,70%
Tetris,NES,11/1/1989,NA,Nintendo,Nintendo R&D1,Tetris,Puzzle,,,,0,,,,,1,,,80%,,82%,,,,,,1989,81%,82%,80%
DuckTales,NES,9/14/1989,NA,Capcom,Capcom,DuckTales,Action Platformer,,,,0,,,,,1,,,80%,,79%,,,,,,1989,80%,79%,80%
Dragon Warrior,NES,8/1/1989,NA,Nintendo,Chunsoft,Dragon Quest,Turn-Based RPG,,,,0,,,,,1,,,70%,,73%,,,1,,,1989,72%,73%,70%
Super Mario Land,Game Boy,7/31/1989,NA,Nintendo,Nintendo R&D1,Mario,Side-Scrolling Platformer,,,,0,,,,,1,,,70%,78%,73%,,,1,,,1989,73%,0.757,70%
Mother,NES,7/27/1989,JP,Nintendo,Ape,Mother,Turn-Based RPG,,,2,0,,,,,1,,,80%,,77%,,,,,,1989,78%,77%,80%
Mega Man 2,NES,6/1/1989,NA,Capcom,Capcom,Mega Man,Action Platformer,,,,0,,,,,1,,,90%,,85%,,,1,,,1989,88%,85%,90%
Akira,NES,12/24/1988,JP,Taito Corporation,TOSE,Akira,Adventure,,,2,0,,,,,0,,,,,60%,,2,,2.00,,1988,50%,60%,0.4
Final Fantasy II,NES,12/17/1988,JP,Square,Square,Final Fantasy,Turn-Based RPG,,,2,0,,,,,0,,,,,66%,,2,,25.50,,1988,53%,66%,0.4
Kaguya Hime Densetsu,NES,12/16/1988,JP,Victor Interactive,Micronics,,Adventure,,,2,0,,,,,0,,,,,77%,,2,,,,1988,58%,77%,0.4
Bionic Commando,NES,12/1/1988,NA,Capcom,Capcom,Bionic Commando,Side-Scrolling Platformer,,,,0,,,,,0,,,,,77%,,4,,2.50,,1988,79%,77%,0.8
SD Snatcher,MSX2,12/1/1988,JP,Konami,Konami,Snatcher,Turn-Based RPG,,,2,0,,,,,0,,,,,77%,,4,,20.00,,1988,79%,77%,0.8
Samurai Sword,Famicom Disk System,11/15/1988,JP,Capcom,Capcom,,Action Adventure,,,2,0,,,,,0,,,,,68%,,3,,,,1988,64%,68%,0.6
Blaster Master,NES,11/1/1988,NA,Sunsoft,Sunsoft,Blaster Master,Metroidvania,,,,0,,,,,0,,,,,79%,,4,,4.00,,1988,79%,79%,0.8
Police Quest II: The Vengeance,PC,11/1/1988,NA,Sierra Entertainment,Sierra Entertainment,Police Quest,Adventure,,,,1,,5/5/2020, $ -   ,Digital,0,,,,85%,73%,Steam,3,,6.00,,1988,69%,0.789,0.6
Double Dragon,Sega Master System,11/1/1988,NA,Sega,Sega,Double Dragon,Beat 'em Up,,,,0,,,,,0,,,,,69%,,2,,1.00,,1988,55%,69%,0.4
Double Dragon,Commodore 64,11/1/1988,NA,Mastertronic,Binary Design,Double Dragon,Beat 'em Up,,,,0,,,,,0,,,,,57%,,2,,1.00,,1988,48%,57%,0.4
Daisenryaku,NES,10/11/1988,JP,Bothtec,Quest Corporation,Daisenryaku,Strategy,,,2,0,,,,,0,,,,,60%,,2,,,,1988,50%,60%,0.4
Ultima V: Warriors of Destiny,PC,10/5/1988,NA,Origin Systems,Origin Systems,Ultima,Computer RPG,,,,0,,,,,0,,,,,80%,,3,,25.50,,1988,70%,80%,0.6
Zak McKracken and the Alien Mindbenders,PC,10/1/1988,NA,Lucasfilm Games,Lucasfilm Games,,Adventure,,,,1,,8/1/2022, $ -   ,Digital,0,,,,85%,75%,Twitch,3,,4.00,,1988,70%,0.798,0.6
Ninja Gaiden,Arcade,10/1/1988,NA,Tecmo,Tecmo,Ninja Gaiden,Beat 'em Up,,,,0,,,,,0,,,,,66%,,3,,0.30,,1988,63%,66%,0.6
Leisure Suit Larry Goes Looking for Love (in Several Wrong Places),PC,10/1/1988,NA,Sierra Entertainment,Sierra Entertainment,Leisure Suit Larry,Adventure,,,,0,,,,,0,,,,65%,66%,,2,,4.00,,1988,53%,0.657,0.4
Gaia no Monshou,TurboGrafx-16,9/23/1988,JP,NCS,NCS,Langrisser,Strategy RPG,,,2,0,,,,,0,,,,,64%,,2,,,,1988,52%,64%,0.4
King's Quest IV: The Perils of Rosella,PC,9/1/1988,NA,Sierra Entertainment,Sierra Entertainment,King's Quest,Adventure,,,,1,,5/5/2020, $ -   ,Digital,0,,,,80%,73%,Steam,3,,3.50,,1988,68%,0.764,0.6
Adventure Island,NES,9/1/1988,NA,Hudson Soft,Hudson Soft,Adventure Island,Side-Scrolling Platformer,,,,0,,,,,0,,,,,66%,,3,,0.92,,1988,63%,66%,0.6
Out Run 3-D,Sega Master System,9/1/1988,EU,Sega,Sega,Out Run,Racing,,,,0,,,,,0,,,,,66%,,2,,,,1988,53%,66%,0.4
Golgo 13: Top Secret Episode,NES,9/1/1988,NA,Vic Tokai,Vic Tokai,Golgo 13,Action Adventure,,,,0,,,,,0,,,,,64%,,2,,4.00,,1988,52%,64%,0.4
Milon's Secret Castle,NES,9/1/1988,NA,Hudson Soft,Hudson Soft,Milon's Secret Castle,Action Platformer,,,,0,,,,,0,,,,,60%,,2,,1.50,,1988,50%,60%,0.4
Famicom Wars,NES,8/12/1988,JP,Nintendo,Nintendo R&D1,Advance Wars,Strategy RPG,,,2,0,,,,,0,,,,,74%,,2,,1.50,,1988,57%,74%,0.4
The Scheme,NEC PC-8801,8/9/1988,JP,Bothtec,Onion Soft,,Metroidvania,,,0,0,,,,,0,,,,,69%,,2,,7.00,,1988,54%,69%,0.4
Life Force,NES,8/1/1988,NA,Konami,Konami,Gradius,Scrolling Shooter,,,,0,,,,,0,,,,,78%,,3,,0.50,,1988,69%,78%,0.6
Power Drift,Arcade,8/1/1988,NA,Sega,Sega AM2,,Racing,,,,0,,,,,0,,,,,61%,,2,,0.72,,1988,51%,61%,0.4
Aleste,MSX2,7/23/1988,JP,Compile,Compile,Aleste,Scrolling Shooter,,,2,0,,,,,0,,,,,72%,,3,,0.83,,1988,66%,72%,0.6
Legendary Wings,NES,7/1/1988,NA,Capcom,Capcom,Legendary Wings,Scrolling Shooter,,,,0,,,,,0,,,,,67%,,3,,1.00,,1988,63%,67%,0.6
Metal Gear,NES,6/1/1988,NA,Ultra Games,Konami,Metal Gear,Stealth Action,,,,0,,,,,0,,,,,68%,,4,,4.00,,1988,74%,68%,0.8
Pool of Radiance,PC,6/1/1988,NA,Strategic Simulations,Strategic Simulations,Dungeons & Dragons,Computer RPG,,,,0,,,,,0,,,,,80%,,3,,32.00,,1988,70%,80%,0.6
Deep Dungeon III: Yuushi e no Tabi,NES,5/13/1988,JP,Square,Hummingbird Soft,Deep Dungeon,Turn-Based RPG,,,2,0,,,,,0,,,,,58%,,2,,40.00,,1988,49%,58%,0.4
Parodius,MSX,4/28/1988,JP,Konami,Konami,Parodius,Scrolling Shooter,,,2,0,,,,,0,,,,,69%,,3,,1.50,,1988,65%,69%,0.6
Bio Miracle Bokutte Upa,NES,4/22/1988,JP,Konami,Konami,,Side-Scrolling Platformer,,,2,0,,,,,0,,,,,69%,,2,,2.50,,1988,54%,69%,0.4
Famicom Grand Prix II: 3D Hot Rally,Famicom Disk System,4/14/1988,JP,Nintendo,Nintendo,F-1 Race,Racing,,,2,0,,,,,0,,,,,66%,,2,,,,1988,53%,66%,0.4
Hoshi wa Sagashite…,Sega Master System,4/2/1988,JP,Sega,Sega,,Adventure,,,2,0,,,,,0,,,,,28%,,3,,,,1988,44%,28%,0.6
Gradius II: Gofer's Ambition,Arcade,3/24/1988,EU,Konami,Konami,Gradius,Scrolling Shooter,,,,0,,,,,0,,,,,77%,,3,,0.95,,1988,69%,77%,0.6
Haunted Castle,Arcade,2/1/1988,NA,Konami,Konami,Castlevania,Action Platformer,,,,0,,,,,0,,,,,50%,,3,,0.58,,1988,55%,50%,0.6
Miracle Warriors: Seal of the Dark Lord,Sega Master System,1/31/1988,NA,Sega,Kogado Software Products,,Turn-Based RPG,,,,0,,,,,0,,,,,67%,,2,,8.00,,1988,53%,67%,0.4
Jaseiken Necromancer,TurboGrafx-16,1/22/1988,JP,Hudson Soft,Hudson Soft,Necromancer,Action RPG,,,1,0,,,,,0,,,,,69%,,2,,30.00,,1988,55%,69%,0.4
Wai Wai World,NES,1/14/1988,JP,Konami,Konami,Wai Wai World,Side-Scrolling Platformer,,,2,0,,,,,0,,,,,73%,,2,,11.00,,1988,57%,73%,0.4
Wasteland,PC,1/2/1988,NA,Electronic Arts,Interplay Entertainment,Wasteland,Computer RPG,,,,1,,9/13/2022, $ 0.71 ,Digital,0,,,,,79%,Steam,3,,30.50,,1988,70%,79%,0.6
Phantasy Star,Sega Master System,1/1/1988,NA,Sega,Sega,Phantasy Star,Turn-Based RPG,,,,0,,,,,0,,,,,80%,,4,,18.00,,1988,80%,80%,0.8
Neuromancer,PC,1/1/1988,NA,Mediagenic,Interplay Entertainment,,Adventure,,,,0,,,,,0,,,,,73%,,4,,,,1988,77%,73%,0.8
Shinobi,Sega Master System,1/1/1988,NA,Sega,Sega,Shinobi,Action,,,,0,,,,,0,,,,,70%,,4,,1.50,,1988,75%,70%,0.8
King's Valley II: The Seal of El Giza,MSX,1/1/1988,JP,Konami,Konami,King's Valley,Side-Scrolling Platformer,,,0,0,,,,,0,,,,,81%,,3,,,,1988,71%,81%,0.6
Wizardry V: Heart of the Maelstrom,PC,1/1/1988,NA,Sir-Tech Software,Sir-Tech Software,Wizardry,Computer RPG,,,,0,,,,,0,,,,,78%,,3,,37.50,,1988,69%,78%,0.6
Ys: The Vanished Omens,Sega Master System,1/1/1988,NA,Sega,Sega,Ys,Action RPG,,,,0,,,,,0,,,,,74%,,3,,6.00,,1988,67%,74%,0.6
The Bard's Tale II: The Destiny Knight,PC,1/1/1988,NA,Electronic Arts,Interplay Entertainment,The Bard's Tale,Computer RPG,,,,0,,,,,0,,,,,73%,,3,,18.00,,1988,67%,73%,0.6
Might and Magic II: Gates to Another World,PC,1/1/1988,NA,New World Computing,New World Computing,Might and Magic,Computer RPG,,,,0,,,,,0,,,,,68%,,3,,60.00,,1988,64%,68%,0.6
BattleTech: The Crescent Hawk's Inception,PC,1/1/1988,NA,Infocom,Westwood Studios,BattleTech,Computer RPG,,,,0,,,,,0,,,,,77%,,2,,6.50,,1988,59%,77%,0.4
Rex,ZX Spectrum,1/1/1988,EU,Martech,The Light,,Metroidvania,,,,0,,,,,0,,,,,75%,,2,,,,1988,58%,75%,0.4
Golvellius: Valley of Doom,Sega Master System,1/1/1988,NA,Sega,Compile,Golvellius,Action RPG,,,,0,,,,,0,,,,,74%,,2,,5.50,,1988,57%,74%,0.4
Katakis,Commodore Amiga,1/1/1988,EU,Rainbow Arts,Factor 5,,Scrolling Shooter,,,,0,,,,,0,,,,,73%,,2,,,,1988,57%,73%,0.4
The Shadows of Mordor,PC,1/1/1988,NA,Addison-Wesley Publishing Company,Beam Software,The Lord of the Rings,Text Adventure,,,,0,,,,,0,,,,,71%,,2,,0.25,,1988,56%,71%,0.4
Crosswize,ZX Spectrum,1/1/1988,EU,Firebird Software,Firebird Software,Sidewize,Scrolling Shooter,,,,0,,,,,0,,,,,70%,,2,,,,1988,55%,70%,0.4
Manhunter: New York,PC,1/1/1988,NA,Sierra Entertainment,Evryware,Manhunter,Adventure,,,,0,,,,,0,,,,40%,55%,,3,,4.00,,1988,54%,0.473,0.6
Space Harrier 3-D,Sega Master System,1/1/1988,NA,Sega,Sega,Space Harrier,Rail Shooter,,,,0,,,,,0,,,,,67%,,2,,0.88,,1988,54%,67%,0.4
Zillion II: The Tri-Formation Cycle,Sega Master System,1/1/1988,NA,Sega,Sega,Zillion,Side-Scrolling Platformer,,,,0,,,,,0,,,,,67%,,2,,0.45,,1988,53%,67%,0.4
XZR: Hakai no Gūzō,NEC PC-8801,1/1/1988,JP,Renovation Games,Telenet Japan,Exile,Action RPG,,,0,0,,,,,0,,,,,65%,,2,,,,1988,53%,65%,0.4
Double Dragon,Commodore Amiga,1/1/1988,EU,Melbourne House,Binary Design,Double Dragon,Beat 'em Up,,,,0,,,,,0,,,,,65%,,2,,1.00,,1988,52%,65%,0.4
Draconus,Commodore 64,1/1/1988,NA,Zeppelin Games,Zeppelin Games,,Metroidvania,,,,0,,,,,0,,,,,63%,,2,,,,1988,52%,63%,0.4
Cyborg Hunter,Sega Master System,1/1/1988,NA,Activision,Sega,,Metroidvania,,,,0,,,,,0,,,,,63%,,2,,,,1988,52%,63%,0.4
Alien Syndrome,Sega Master System,1/1/1988,NA,Sega,Sega,Alien Syndrome,Run and Gun,,,,0,,,,,0,,,,,62%,,2,,2.00,,1988,51%,62%,0.4
Double Dragon,PC,1/1/1988,NA,Arcadia Systems,Arcadia Systems,Double Dragon,Beat 'em Up,,,,0,,,,,0,,,,,60%,,2,,1.00,,1988,50%,60%,0.4
Renegade,NES,1/1/1988,NA,Taito,Million,Kunio-kun,Beat 'em Up,,,,0,,,,,0,,,,,60%,,2,,0.47,,1988,50%,60%,0.4
Thunder Blade,Sega Master System,1/1/1988,NA,Sega,Sega,Thunder Blade,Scrolling Shooter,,,,0,,,,,0,,,,,58%,,2,,0.37,,1988,49%,58%,0.4
Alex Kidd: The Lost Stars,Sega Master System,1/1/1988,NA,Sega,Sega,Alex Kidd,Side-Scrolling Platformer,,,,0,,,,,0,,,,,57%,,2,,1.00,,1988,49%,57%,0.4
Double Dragon,ZX Spectrum,1/1/1988,EU,Melbourne House,Binary Design,Double Dragon,Beat 'em Up,,,,0,,,,,0,,,,,56%,,2,,1.00,,1988,48%,56%,0.4
Double Dragon,Amstrad CPC,1/1/1988,EU,Melbourne House,Binary Design,Double Dragon,Beat 'em Up,,,,0,,,,,0,,,,,56%,,2,,1.00,,1988,48%,56%,0.4
Double Dragon,Atari 2600,1/1/1988,NA,Activision,Imagineering,Double Dragon,Beat 'em Up,,,,0,,,,,0,,,,,52%,,2,,1.00,,1988,46%,52%,0.4
Maraya no Hihou,MSX2,1/1/1988,JP,Pony Canyon,Pony Canyon,,Action Adventure,,,2,0,,,,,0,,,,,,,2,,,,1988,40%,,0.4
XZR II: Kanketsuhen,MSX2,1/1/1988,JP,Telenet Japan,Telenet Japan,Exile,Action RPG,,,1,0,,,,,0,,,,,,,2,,,,1988,40%,,0.4
Spiderbot,PC,1/1/1988,NA,Epyx,Addictive Games,,Metroidvania,,,,0,,,,,0,,,,,,,2,,,,1988,40%,,0.4
Mars Saga,PC,1/1/1988,NA,Infocom,Westwood Studios,,Computer RPG,,,,0,,,,,0,,,,,20%,,2,,,,1988,30%,20%,0.4
Last Duel: Inter Planet War 2012,Arcade,1/1/1988,NA,Capcom,Capcom,,Scrolling Shooter,,,,0,,,,,0,,,,,64%,,2,,0.42,,1988,52%,64%,0.4
Castlevania II: Simon's Quest,NES,12/1/1988,NA,Konami,Konami,Castlevania,Metroidvania,,,,0,,,,,1,,,60%,,70%,,,1,,,1988,65%,70%,60%
Bubble Bobble,NES,11/1/1988,NA,Taito,Taito,Bubble Bobble,Puzzle Platformer,,,,0,,,,,1,2/12/2014,,80%,,78%,,,,,,1988,79%,78%,80%
Super Mario Bros. 2,NES,10/9/1988,NA,Nintendo,Nintendo EAD,Mario,Side-Scrolling Platformer,,,,0,,,,,1,,,80%,,76%,,,1,,,1988,78%,76%,80%
Zelda II: The Adventure of Link,NES,9/26/1988,NA,Nintendo,Nintendo EAD,The Legend of Zelda,Action Adventure,,,,1,Game only,2/24/2019, $ 9.99 ,Physical,1,,,70%,,73%,Gray and gold copies,,,,,1988,72%,73%,70%
Xevious,NES,9/1/1988,NA,Bandai,Namco,Xevious,Scrolling Shooter,,,,0,,,,,1,,,60%,,62%,,,,,,1988,61%,62%,60%
Double Dragon,NES,6/1/1988,NA,Tradewest,Technōs Japan,Double Dragon,Beat 'em Up,,,,0,,,,,1,,,70%,,72%,,,1,,,1988,71%,72%,70%
Contra,NES,2/2/1988,NA,Konami,Konami,Contra,Run and Gun,,,,0,,,,,1,,,70%,,83%,,,1,,,1988,77%,83%,70%
Zillion,Sega Master System,12/31/1987,NA,Sega,Sega,Zillion,Action Adventure,,,,0,,,,,0,,,,,75%,,2,,1.50,,1987,58%,75%,0.4
Ginga no Sannin,NES,12/15/1987,JP,Nintendo,Pax Softonica,,Turn-Based RPG,,,0,0,,,,,0,,,,,67%,,2,,,,1987,54%,67%,0.4
JJ: Tobidase Daisakusen Part II,NES,12/7/1987,JP,Squaresoft,SquareSoft,3-D WorldRunner,Rail Shooter,,,0,0,,,,,0,,,,,74%,,2,,,,1987,57%,74%,0.4
